series_id,start,end
PXSPOUSE,663,664
PXSEX,665,666
PXAFWHN1,667,668
PXAFNOW,669,670
PXEDUCA,671,672
PXRACE1,673,674
PXNATVTY,675,676
PXMNTVTY,677,678
PXFNTVTY,679,680
PXNMEMP1,681,682
PXHSPNON,683,684
PXMLR,685,686
PXRET1,687,688
PXABSRSN,689,690
PXABSPDO,691,692
PXMJOT,693,694
PXMJNUM,695,696
PXHRUSL1,697,698
PXHRUSL2,699,700
PXHRFTPT,701,702
PXHRUSLT,703,704
PXHRWANT,705,706
PXHRRSN1,707,708
PXHRRSN2,709,710
PXHRACT1,711,712
PXHRACT2,713,714
PXHRACTT,715,716
PXHRRSN3,717,718
PXHRAVL,719,720
PXLAYAVL,721,722
PXLAYLK,723,724
PXLAYDUR,725,726
PXLAYFTO,727,728
PXLKM1,729,730
PXLKAVL,731,732
PXLKLL1O,733,734
PXLKLL2O,735,736
PXLKLWO,737,738
PXLKDUR,739,740
PXLKFTO,741,742
PXDWWNTO,743,744
PXDWRSN,745,746
PXDWLKO,747,748
PXDWWK,749,750
PXDW4WK,751,752
PXDWLKWK,753,754
PXDWAVL,755,756
PXDWAVR,757,758
PXJHWKO,759,760
PXJHRSN,761,762
PXJHWANT,763,764
PXIO1COW,765,766
PXIO1ICD,767,768
PXIO1OCD,769,770
PXIO2COW,771,772
PXIO2ICD,773,774
PXIO2OCD,775,776
PXERNUOT,777,778
PXERNPER,779,780
PXERNH1O,781,782
PXERNHRO,783,784
PXERN,785,786
PXPDEMP2,787,788
PXNMEMP2,789,790
PXERNWKP,791,792
PXERNRT,793,794
PXERNHRY,795,796
PXERNH2,797,798
PXERNLAB,799,800
PXERNCOV,801,802
PXNLFJH,803,804
PXNLFRET,805,806
PXNLFACT,807,808
PXSCHENR,809,810
PXSCHFT,811,812
PXSCHLVL,813,814
QSTNUM,815,819
OCCURNUM,820,821
PEDIPGED,822,823
PEHGCOMP,824,825
PECYC,826,827
PADDING3,828,833
PXDIPGED ,834,835
PXHGCOMP,836,837
PXCYC,838,839
PADDING4,840,845
PWCMPWGT,846,855
PEIO1ICD,856,859
PEIO1OCD,860,863
PEIO2ICD,864,867
PEIO2OCD,868,871
PRIMIND1,872,873
PRIMIND2,874,875
PEAFWHN1,876,877
PEAFWHN2,878,879
PEAFWHN3,880,881
PEAFWHN4,882,883
PXAFEVER,884,885
PELNDAD,886,887
PELNMOM,888,889
PEDADTYP,890,891
PEMOMTYP,892,893
PECOHAB,894,895
PXLNDAD,896,897
PXLNMOM,898,899
PXDADTYP,900,901
PXMOMTYP,902,903
PXCOHAB,904,905
PEDISEAR,906,907
PEDISEYE,908,909
PEDISREM,910,911
PEDISPHY,912,913
PEDISDRS,914,915
PEDISOUT,916,917
PRDISFLG,918,919
PXDISEAR,920,921
PXDISEYE,922,923
PXDISREM,924,925
PXDISPHY,926,927
PXDISDRS,928,929
PXDISOUT,930,931
HXFAMINC,932,933
PRDASIAN,934,935
PEPDEMP1,936,937
PTNMEMP1,938,939
PEPDEMP2,940,941
PTNMEMP2,942,943
PECERT1,944,945
PECERT2,946,947
PECERT3,948,949
PXCERT1,950,951
PXCERT2,952,953
PXCERT3,954,955
FILLER14,956,1000
